City,Population_2011,Population_2001,State_UT,Reference,Growth_%
Mumbai,12442373,11978450,Maharashtra,3.87,3.87
Delhi,11034555,9879172,Delhi,11.7,11.7
Bengaluru,8443675,5682293,Karnataka,48.6,48.6
Hyderabad,6993262,5496960,Telangana,27.22,27.22
Ahmedabad,5577940,4470006,Gujarat,24.79,24.79
Chennai,4646732,4343645,Tamil Nadu,6.98,6.98
Kolkata,4496694,4580546,West Bengal,-1.83,-1.83
Surat,4467797,2788126,Gujarat,60.24,60.24
Pune,3124458,2538473,Maharashtra,23.08,23.08
Jaipur,3046163,2322575,Rajasthan,31.15,31.15
Lucknow,2817105,2185927,Uttar Pradesh,28.87,28.87
Kanpur,2765348,2551337,Uttar Pradesh,8.39,8.39
Nagpur,2405665,2052066,Maharashtra,17.23,17.23
Indore,1964086,1503237,Madhya Pradesh,30.66,30.66
Thane,1841488,1262551,Maharashtra,45.85,45.85
Bhopal,1798218,1458416,Madhya Pradesh,23.3,23.3
Visakhapatnam,1728128,1345938,Andhra Pradesh,28.4,28.4
Pimpri-Chinchwad,1727692,1020448,Maharashtra,69.31,69.31
Patna,1684222,1431477,Bihar,17.66,17.66
Vadodara,1670806,1338244,Gujarat,24.85,24.85
Ghaziabad,1648643,968256,Uttar Pradesh,70.27,70.27
Ludhiana,1618879,1398467,Punjab,15.76,15.76
Agra,1585704,1275134,Uttar Pradesh,24.36,24.36
Nashik,1486053,1077236,Maharashtra,37.95,37.95
Faridabad,1414050,1055938,Haryana,33.91,33.91
Meerut,1305429,1068772,Uttar Pradesh,22.14,22.14
Rajkot,1286678,967476,Gujarat,32.99,32.99
Kalyan-Dombivli,1247327,1193512,Maharashtra,4.51,4.51
Vasai-Virar,1222390,518601,Maharashtra,135.71,135.71
Varanasi,1198491,1103952,Uttar Pradesh,8.56,8.56
Srinagar,1180570,935764,Jammu and Kashmir,26.16,26.16
Aurangabad,1175116,873311,Maharashtra,34.56,34.56
Dhanbad,1162472,1031523,Jharkhand,12.69,12.69
Amritsar,1132383,979801,Punjab,15.57,15.57
Navi Mumbai,1120547,704002,Maharashtra,59.17,59.17
Prayagraj,1112544,975393,Uttar Pradesh,14.06,14.06
Howrah,1077075,1007532,West Bengal,6.9,6.9
Ranchi,1073427,847093,Jharkhand,26.72,26.72
Jabalpur,1055525,951472,Madhya Pradesh,10.94,10.94
Gwalior,1054420,827026,Madhya Pradesh,27.5,27.5
Coimbatore,1050721,930882,Tamil Nadu,12.87,12.87
Vijayawada,1034358,941760,Andhra Pradesh,9.83,9.83
Jodhpur,1033756,856525,Rajasthan,20.69,20.69
Madurai,1017865,928869,Tamil Nadu,9.58,9.58
Raipur,1010433,707469,Chhattisgarh,42.82,42.82
Kota,1001694,703150,Rajasthan,42.46,42.46
